azimuth, elevation, dBi
225, 35, -10.90380485676712
229.99999999999997, 35, -12.406733879005207
235, 35, -15.388952305774515
239.99999999999997, 35, -24.412971249392022
245.00000000000003, 35, -14.092887976059616
250.00000000000003, 35, -11.213888772650265
255, 35, -9.516314280932455
260, 35, -8.371010759434728
265, 35, -7.574822544847706
270, 35, -7.041012590548733
275, 35, -6.730514306165515
280, 35, -6.63083600539513
285, 35, -6.750589094664518
290.00000000000006, 35, -7.123492035851054
295, 35, -7.826228246415571
300.00000000000006, 35, -9.035594558140179
305, 35, -11.267613173882305
310, 35, -17.95814333427466
315, 35, -13.087191518059019
320, 35, -9.272653250926794
325, 35, -7.244877257400232
329.99999999999994, 35, -5.895609498598146
335.00000000000006, 35, -4.9285782943133984
340, 35, -4.221164594415237
345, 35, -3.711774958158088
350.00000000000006, 35, -3.3663734898804853
355, 35, -3.1657268123714366
360, 35, -3.0998751627434302
0, 40, -4.312889814575685
5, 40, -4.38588588107664
10, 40, -4.609052421894211
14.999999999999998, 40, -4.996026883460748
20, 40, -5.573893192340601
25, 40, -6.392916911986353
29.999999999999996, 40, -7.551386372742885
35, 40, -9.272653250926789
40, 40, -12.263119287273092
45, 40, -27.86460151328776
50, 40, -12.781050598924715
55, 40, -9.9323714591422
59.99999999999999, 40, -8.440893070553452
65, 40, -7.539475092670943
70, 40, -6.994910865978413
75.00000000000001, 40, -6.708173977055202
80, 40, -6.631800891657869
85, 40, -6.744263273399765
90, 40, -7.041012590548732
95, 40, -7.532763259501795
100, 40, -8.249521347411445
105, 40, -9.254091170022276
110, 40, -10.681330315799777
114.99999999999999, 40, -12.880544791683143
119.99999999999999, 40, -17.360819058036782
125.00000000000001, 40, -18.96942441693313
130, 40, -13.917871606799268
135, 40, -11.898034101285099
140, 40, -10.738636396637313
145.00000000000003, 40, -10.008539271873724
150.00000000000003, 40, -9.540424380704886
155, 40, -9.247321395359844
160, 40, -9.074371825617959
164.99999999999997, 40, -8.98196158843832
170, 40, -8.939497272282802
175.00000000000003, 40, -8.923910246922407
180, 40, -8.920425600510448
185, 40, -8.923910246922407
190, 40, -8.939497272282802
195.00000000000003, 40, -8.98196158843832
200, 40, -9.074371825617959
205, 40, -9.247321395359844
210, 40, -9.540424380704886
215, 40, -10.008539271873724
220, 40, -10.738636396637313
225, 40, -11.898034101285084
229.99999999999997, 40, -13.917871606799242
235, 40, -18.96942441693313
239.99999999999997, 40, -17.36081905803685
245.00000000000003, 40, -12.880544791683143
250.00000000000003, 40, -10.68133031579977
255, 40, -9.254091170022273
260, 40, -8.249521347411445
265, 40, -7.532763259501795
270, 40, -7.041012590548733
275, 40, -6.744263273399765
280, 40, -6.631800891657869
285, 40, -6.708173977055202
290.00000000000006, 40, -6.994910865978413
295, 40, -7.539475092670944
300.00000000000006, 40, -8.44089307055345
305, 40, -9.932371459142193
310, 40, -12.781050598924704
315, 40, -27.86460151328814
320, 40, -12.263119287273092
325, 40, -9.272653250926794
329.99999999999994, 40, -7.55138637274289
335.00000000000006, 40, -6.392916911986353
340, 40, -5.573893192340601
345, 40, -4.996026883460748
350.00000000000006, 40, -4.609052421894211
355, 40, -4.38588588107664
360, 40, -4.312889814575685
0, 45, -5.968701048312801
5, 45, -6.055302198895624
10, 45, -6.32177931466258
14.999999999999998, 45, -6.790454669329362
20, 45, -7.508098455267226
25, 45, -8.570123830168972
29.999999999999996, 45, -10.196773523837892
35, 45, -13.087191518059004
40, 45, -27.86460151328776
45, 45, -13.477016917132627
50, 45, -10.52526848009168
55, 45, -8.93581449031565
59.99999999999999, 45, -7.93341565564432
65, 45, -7.281587563484068
70, 45, -6.878289679878056
75.00000000000001, 45, -6.672362284365119
80, 45, -6.637170142266494
85, 45, -6.760548147834385
90, 45, -7.041012590548732
95, 45, -7.487370223907947
100, 45, -8.121476333539864
105, 45, -8.986179534121861
110, 45, -10.165818997189675
114.99999999999999, 45, -11.847430027380334
119.99999999999999, 45, -14.57872564519418
125.00000000000001, 45, -22.34494653543619
130, 45, -16.817833249535713
135, 45, -13.524934049040226
140, 45, -11.898034101285099
145.00000000000003, 45, -10.90380485676712
150.00000000000003, 45, -10.252455465236707
155, 45, -9.817308270162362
160, 45, -9.528880613986049
164.99999999999997, 45, -9.343319350909749
170, 45, -9.230834318326238
175.00000000000003, 45, -9.171290221182643
180, 45, -9.15276724600403
185, 45, -9.171290221182643
190, 45, -9.230834318326238
195.00000000000003, 45, -9.343319350909745
200, 45, -9.528880613986049
205, 45, -9.817308270162359
210, 45, -10.252455465236707
215, 45, -10.903804856767131
220, 45, -11.898034101285084
225, 45, -13.524934049040226
229.99999999999997, 45, -16.817833249535713
235, 45, -22.34494653543619
239.99999999999997, 45, -14.578725645194217
245.00000000000003, 45, -11.847430027380334
250.00000000000003, 45, -10.165818997189668
255, 45, -8.98617953412186
260, 45, -8.121476333539864
265, 45, -7.487370223907947
270, 45, -7.041012590548733
275, 45, -6.760548147834386
280, 45, -6.637170142266494
285, 45, -6.672362284365119
290.00000000000006, 45, -6.878289679878058
295, 45, -7.28158756348407
300.00000000000006, 45, -7.933415655644316
305, 45, -8.93581449031565
310, 45, -10.52526848009167
315, 45, -13.477016917132602
320, 45, -27.86460151328814
325, 45, -13.087191518059019
329.99999999999994, 45, -10.196773523837916
335.00000000000006, 45, -8.570123830168969
340, 45, -7.508098455267226
345, 45, -6.790454669329362
350.00000000000006, 45, -6.32177931466258
355, 45, -6.055302198895624
360, 45, -5.968701048312801
0, 50, -8.475439913094885
5, 50, -8.595633197635399
10, 50, -8.97152926951035
14.999999999999998, 50, -9.657594817612773
20, 50, -10.785182706189953
25, 50, -12.708204604542345
29.999999999999996, 50, -16.99962870072476
35, 50, -17.95814333427466
40, 50, -12.781050598924715
45, 50, -10.52526848009168
50, 50, -9.12905778017055
55, 50, -8.177078709335266
59.99999999999999, 50, -7.512605842331745
65, 50, -7.0603018319668145
70, 50, -6.7792608995741865
75.00000000000001, 50, -6.646153662533873
80, 50, -6.6481109363257005
